D,T,O,H,L,C,V
2016/1/4,931,2706.27,2706.27,2703.16,2703.16,162803
2016/1/4,932,2703.4,2704.1,2703.3,2703.31,70454
2016/1/4,933,2703.41,2705.05,2702.87,2705.05,75174
2016/1/4,934,2705.23,2708.78,2705.01,2708.59,74634
2016/1/4,935,2708.68,2710.29,2708.68,2709.59,71450
2016/1/4,936,2709.32,2709.94,2707.49,2707.49,74248
2016/1/4,937,2706.99,2707.27,2703.76,2703.76,75785
2016/1/4,938,2703.96,2703.96,2698.48,2698.48,79984
2016/1/4,939,2697.72,2697.72,2690.95,2691.01,96640
2016/1/4,940,2690.26,2690.26,2683.98,2683.98,97313
2016/1/4,941,2684.07,2684.07,2678.59,2678.73,101009
2016/1/4,942,2678.36,2678.36,2675.48,2675.74,105326
2016/1/4,943,2675.78,2675.84,2675.19,2675.46,89513
2016/1/4,944,2675.46,2680.15,2675.46,2680.15,90696
2016/1/4,945,2680.43,2682.95,2680.43,2682.91,75569
2016/1/4,946,2682.57,2683.04,2679.6,2679.6,80302
2016/1/4,947,2679.54,2679.54,2673.86,2673.86,101406
2016/1/4,948,2673.32,2673.32,2665.61,2665.61,107587
2016/1/4,949,2665.61,2665.61,2660.49,2660.49,109038
2016/1/4,950,2660.96,2660.96,2655.58,2655.58,118648
2016/1/4,951,2655.26,2655.76,2653.92,2654.39,112793
2016/1/4,952,2656.28,2657.42,2654.37,2655.07,104683
2016/1/4,953,2655.13,2655.64,2654.12,2654.66,85866
2016/1/4,954,2655.24,2659.3,2654.74,2659.3,83039
2016/1/4,955,2659.3,2664.82,2659.16,2664.82,82835
2016/1/4,956,2664.89,2667.07,2664.89,2666.85,73941
2016/1/4,957,2666.56,2667.35,2662.78,2662.78,78335
2016/1/4,958,2664.16,2664.33,2662.36,2663.66,64826
2016/1/4,959,2663.49,2663.49,2662.4,2662.44,63979
2016/1/4,1000,2662.43,2662.83,2662.21,2662.67,59806
2016/1/4,1001,2663.04,2663.87,2661.74,2661.97,69135
2016/1/4,1002,2661.51,2661.88,2659.66,2659.66,67605
2016/1/4,1003,2659.03,2659.09,2656.37,2656.37,73616
2016/1/4,1004,2655.87,2656.02,2649.9,2649.9,83562
2016/1/4,1005,2649.13,2649.13,2640.84,2640.84,99421
2016/1/4,1006,2640.27,2640.27,2631.11,2631.11,109980
2016/1/4,1007,2630.46,2630.46,2621.76,2621.76,130919
2016/1/4,1008,2621.72,2621.72,2614.45,2614.45,126907
2016/1/4,1009,2613.94,2613.94,2606.82,2606.82,134376
2016/1/4,1010,2605.88,2606.37,2599.81,2600.04,116707
2016/1/4,1011,2600.04,2600.04,2590.61,2590.61,128473
2016/1/4,1012,2590.61,2590.61,2583.49,2583.53,123446
2016/1/4,1013,2582.23,2582.23,2574.52,2574.52,117488
2016/1/4,1014,2574.75,2574.75,2568.24,2568.39,126507
2016/1/4,1015,2567.28,2567.3,2561.77,2561.77,112186
2016/1/4,1016,2562.97,2562.97,2559.49,2559.49,103339
2016/1/4,1017,2559.93,2564.89,2558.98,2564.89,114478
2016/1/4,1018,2563.82,2570.21,2563.7,2570.21,89334
2016/1/4,1019,2570.86,2584.79,2570.86,2584.79,75284
2016/1/4,1020,2584.79,2593.61,2584.79,2593.61,73839
2016/1/4,1021,2593.13,2597.37,2593.13,2597.37,76369
2016/1/4,1022,2597.22,2597.87,2593.98,2593.98,78267
2016/1/4,1023,2593.82,2594.46,2589.35,2589.35,66763
2016/1/4,1024,2589.25,2589.25,2584.73,2584.73,52328
2016/1/4,1025,2584.35,2586.17,2583.49,2585.3,48303
2016/1/4,1026,2585.53,2590.68,2585.34,2590.68,46085
2016/1/4,1027,2590.68,2596.58,2590.68,2596.58,43426
2016/1/4,1028,2596.58,2601.36,2596.58,2601.36,47970
2016/1/4,1029,2601.34,2602.2,2600.72,2601.56,55769
2016/1/4,1030,2601.36,2601.36,2599.8,2599.88,46788
2016/1/4,1031,2598.93,2599.05,2593.86,2593.86,47282
2016/1/4,1032,2593.86,2594.13,2591.03,2591.79,38690
2016/1/4,1033,2591.41,2591.51,2590.48,2591.32,37214
2016/1/4,1034,2591.33,2592.94,2591.3,2592.94,35420
2016/1/4,1035,2593.21,2598.2,2593.17,2598.2,32830
2016/1/4,1036,2597.7,2601.33,2597.7,2601.33,34778
2016/1/4,1037,2601.65,2603.83,2601.65,2603.83,34852
2016/1/4,1038,2603.83,2607.77,2603.83,2607.77,41317
2016/1/4,1039,2607.77,2609.57,2607.55,2609.36,45692
2016/1/4,1040,2609.36,2610.69,2609.36,2610.33,41897
2016/1/4,1041,2610.59,2610.76,2607.34,2607.34,43351
2016/1/4,1042,2607.34,2607.5,2604.38,2604.38,39077
2016/1/4,1043,2603.63,2603.75,2601.68,2601.68,34709
2016/1/4,1044,2601.7,2602.03,2600.45,2601.21,29681
2016/1/4,1045,2601.31,2603.07,2600.35,2603.07,28907
2016/1/4,1046,2601.62,2601.64,2600.71,2601.01,24674
2016/1/4,1047,2600.84,2601.55,2599.66,2599.93,31300
2016/1/4,1048,2599.68,2599.75,2597.94,2597.94,33532
2016/1/4,1049,2597.58,2597.58,2594.48,2594.48,36321
2016/1/4,1050,2594.41,2595.91,2592.48,2593.08,38149
2016/1/4,1051,2592.71,2593.04,2591.57,2591.98,38491
2016/1/4,1052,2591.89,2591.89,2590.22,2590.36,35322
2016/1/4,1053,2589.99,2590.2,2589.04,2589.06,37095
2016/1/4,1054,2589.25,2589.67,2589.04,2589.5,32894
2016/1/4,1055,2589.74,2593.29,2589.28,2593.13,30613
2016/1/4,1056,2594.17,2594.49,2592.78,2594.15,26834
2016/1/4,1057,2594.04,2595.71,2593,2595.71,23828
2016/1/4,1058,2595.99,2598.48,2595.8,2598.48,25407
2016/1/4,1059,2598.48,2600.39,2598.08,2600.39,28096
2016/1/4,1100,2600.07,2600.7,2599.96,2600.19,22790
2016/1/4,1101,2600.5,2601.1,2599.77,2599.77,24441
2016/1/4,1102,2599.94,2599.95,2596.34,2596.46,29092
2016/1/4,1103,2596.98,2596.98,2593.39,2593.43,26889
2016/1/4,1104,2593.19,2593.19,2591.48,2591.87,25687
2016/1/4,1105,2591.92,2592.25,2591.05,2592.18,23989
2016/1/4,1106,2592.08,2592.8,2591.11,2592.54,24410
2016/1/4,1107,2593.09,2593.09,2591.56,2592.17,22948
2016/1/4,1108,2592.04,2592.23,2589.12,2589.12,38976
2016/1/4,1109,2588.71,2588.97,2585.91,2585.91,39645
2016/1/4,1110,2585.53,2585.53,2579.3,2579.3,52171
2016/1/4,1111,2578.64,2578.64,2573.65,2573.65,60610
2016/1/4,1112,2573.88,2573.88,2568.3,2568.3,70743
2016/1/4,1113,2569.34,2569.34,2565.85,2565.93,57558
2016/1/4,1114,2565.64,2566.56,2564.82,2566.06,65233
2016/1/4,1115,2566.6,2566.6,2564.8,2565,52853
