D,T,O,H,L,C
2017/1/3,931,1965.04,1966.41,1964.89,1966.19
2017/1/3,932,1965.94,1966.4,1964.77,1965.41
2017/1/3,933,1965.41,1965.47,1964.71,1964.95
2017/1/3,934,1965,1965.18,1964.64,1964.97
2017/1/3,935,1964.81,1965.59,1964.46,1965.15
2017/1/3,936,1965.23,1965.74,1965.13,1965.51
2017/1/3,937,1965.74,1966.53,1965.5,1966.03
2017/1/3,938,1966.34,1967.41,1966.3,1967.11
2017/1/3,939,1967.43,1968.57,1967.42,1968.06
2017/1/3,940,1968.14,1969.28,1968.14,1969.28
2017/1/3,941,1969.35,1970.32,1969.27,1970.09
2017/1/3,942,1970.43,1970.45,1969.82,1970.13
2017/1/3,943,1970.09,1970.23,1969.86,1970.1
2017/1/3,944,1970.06,1970.42,1969.89,1970.02
2017/1/3,945,1970.06,1970.3,1969.95,1969.95
2017/1/3,946,1970.03,1970.3,1969.74,1970.05
2017/1/3,947,1970.31,1971.26,1970.16,1971.26
2017/1/3,948,1971.21,1971.84,1971.12,1971.8
2017/1/3,949,1971.91,1971.91,1971.09,1971.09
2017/1/3,950,1970.89,1971.11,1970.11,1970.11
2017/1/3,951,1970.31,1970.98,1970.3,1970.48
2017/1/3,952,1970.56,1971.32,1970.44,1971.3
2017/1/3,953,1971.3,1971.45,1971.26,1971.45
2017/1/3,954,1971.47,1971.47,1970.53,1970.53
2017/1/3,955,1970.59,1970.59,1969.94,1970.06
2017/1/3,956,1970.07,1970.12,1969.58,1969.79
2017/1/3,957,1969.81,1969.94,1969.38,1969.8
2017/1/3,958,1969.97,1970.27,1969.7,1970.14
2017/1/3,959,1970.17,1970.55,1970.03,1970.38
2017/1/3,1000,1970.26,1970.46,1969.92,1969.97
2017/1/3,1001,1970.19,1970.19,1969.48,1969.59
2017/1/3,1002,1969.58,1969.8,1969.26,1969.56
2017/1/3,1003,1969.54,1969.64,1968.91,1969
2017/1/3,1004,1968.92,1968.92,1967.86,1967.86
2017/1/3,1005,1967.85,1967.85,1966.75,1966.75
2017/1/3,1006,1966.79,1967.63,1966.49,1967.49
2017/1/3,1007,1967.51,1969.11,1967.29,1968.14
2017/1/3,1008,1968.2,1968.2,1967.62,1967.88
2017/1/3,1009,1968.24,1969.28,1967.93,1969.28
2017/1/3,1010,1969.49,1969.68,1969.01,1969.36
2017/1/3,1011,1969.47,1969.51,1969.08,1969.1
2017/1/3,1012,1969.31,1969.61,1969.17,1969.46
2017/1/3,1013,1969.4,1969.65,1968.84,1969.08
2017/1/3,1014,1969.22,1969.37,1968.98,1969.3
2017/1/3,1015,1969.2,1969.24,1968.73,1969.08
2017/1/3,1016,1968.96,1968.96,1968.25,1968.42
2017/1/3,1017,1968.22,1968.51,1967.87,1967.87
2017/1/3,1018,1967.8,1967.91,1967.57,1967.77
2017/1/3,1019,1967.8,1967.9,1967.5,1967.52
2017/1/3,1020,1967.92,1968.05,1967.44,1968.05
2017/1/3,1021,1968.13,1968.21,1967.45,1967.69
2017/1/3,1022,1967.56,1967.86,1966.88,1966.88
2017/1/3,1023,1967.27,1967.61,1967.14,1967.51
2017/1/3,1024,1967.85,1967.86,1967.33,1967.71
2017/1/3,1025,1967.69,1968.01,1967.59,1967.91
2017/1/3,1026,1967.95,1968.07,1967.64,1967.94
2017/1/3,1027,1967.73,1968.4,1967.73,1968.21
2017/1/3,1028,1968.36,1968.78,1968.23,1968.78
2017/1/3,1029,1968.81,1969.33,1968.6,1969.26
2017/1/3,1030,1969.13,1969.54,1968.98,1969.4
2017/1/3,1031,1969.58,1970,1969.26,1969.83
2017/1/3,1032,1969.88,1970.14,1969.76,1970.02
2017/1/3,1033,1969.98,1970.63,1969.98,1970.57
2017/1/3,1034,1970.48,1970.77,1970.44,1970.49
2017/1/3,1035,1970.37,1970.44,1970.16,1970.16
2017/1/3,1036,1970.1,1970.1,1969.65,1969.78
2017/1/3,1037,1969.53,1969.64,1969.2,1969.2
2017/1/3,1038,1969.33,1969.52,1968.79,1968.79
2017/1/3,1039,1969.1,1969.12,1968.45,1968.6
2017/1/3,1040,1968.51,1969.01,1968.51,1968.72
2017/1/3,1041,1968.76,1968.95,1968.45,1968.94
2017/1/3,1042,1968.87,1968.95,1968.38,1968.44
2017/1/3,1043,1968.94,1968.94,1968.32,1968.6
2017/1/3,1044,1968.46,1969.02,1968.46,1968.78
2017/1/3,1045,1968.72,1968.93,1968.51,1968.58
2017/1/3,1046,1968.5,1968.68,1968.42,1968.59
2017/1/3,1047,1968.62,1968.62,1967.61,1967.67
2017/1/3,1048,1967.77,1968.03,1967.5,1967.6
2017/1/3,1049,1967.79,1967.91,1967.25,1967.37
2017/1/3,1050,1967.4,1967.84,1967.37,1967.79
2017/1/3,1051,1967.5,1968.11,1967.28,1968.04
2017/1/3,1052,1968,1968,1967.51,1967.62
2017/1/3,1053,1967.61,1967.61,1967.32,1967.43
2017/1/3,1054,1967.35,1967.49,1967.12,1967.12
2017/1/3,1055,1967.09,1967.17,1966.46,1966.68
2017/1/3,1056,1966.68,1966.68,1966.16,1966.48
2017/1/3,1057,1966.37,1966.43,1965.43,1965.79
2017/1/3,1058,1965.86,1965.86,1965.18,1965.34
2017/1/3,1059,1965.61,1965.75,1965.2,1965.75
2017/1/3,1100,1965.66,1965.66,1964.95,1964.95
2017/1/3,1101,1964.88,1965.09,1964.58,1964.71
2017/1/3,1102,1964.76,1964.79,1964.22,1964.22
2017/1/3,1103,1964.34,1964.77,1964.28,1964.68
2017/1/3,1104,1964.56,1965.01,1964.37,1964.37
2017/1/3,1105,1964.49,1964.67,1964.02,1964.02
2017/1/3,1106,1964.29,1964.74,1964.23,1964.49
2017/1/3,1107,1964.62,1965,1964.53,1964.88
2017/1/3,1108,1964.94,1965.01,1964.63,1965.01
2017/1/3,1109,1965.05,1965.15,1964.77,1965.13
2017/1/3,1110,1965.09,1965.26,1964.87,1964.87
2017/1/3,1111,1964.73,1965.24,1964.5,1965.06
2017/1/3,1112,1965.16,1965.23,1964.12,1964.42
2017/1/3,1113,1964.19,1964.55,1964.1,1964.43
2017/1/3,1114,1964.48,1964.69,1963.99,1964.03
2017/1/3,1115,1964.04,1964.72,1963.71,1964.08
